system:index,LST_Day_1km,google:max_source_file_timestamp,system:asset_size,system:band_names,system:bands,system:id,system:time_end,system:time_start,system:version,.geo
2013_01_01,13637.588880091049,1.508831073272E12,802061064,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_01,1357084800000,1356998400000,1638761598800365,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_02,13726.962874083676,1.508818198807E12,794177940,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_02,1357171200000,1357084800000,1638761599407708,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_03,13740.392500765984,1.508807787404E12,795156986,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_03,1357257600000,1357171200000,1638761599984483,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_04,13486.851497401205,1.508829339933E12,796924458,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_04,1357344000000,1357257600000,1638761600539436,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_05,,1.508812116319E12,790625208,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_05,1357430400000,1357344000000,1638761601055177,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_06,13719.351648351647,1.508817212297E12,785807546,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_06,1357516800000,1357430400000,1638761601618472,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_07,,1.50881471322E12,779245095,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_07,1357603200000,1357516800000,1638761602192450,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_08,,1.508839852185E12,783704852,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_08,1357689600000,1357603200000,1638761602808817,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_09,12575.547591069331,1.508807701793E12,793634308,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_09,1357776000000,1357689600000,1638761603375223,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_10,13302.911570007078,1.50880967086E12,782451035,[LST_Day_1km],<Element>,MODIS/006/MOD11A1/2013_01_10,1357862400000,1357776000000,1638761604000309,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
