date,hourlyPrecipRate
20140301_0000,1.517263044
20140301_0100,1.041036163
20140301_0200,0.009600116
20140301_0300,0.008192435
20140301_0400,0.004112912
20140301_0500,0
20140301_0600,0
20140301_0700,0
20140301_0800,0
20140301_0900,0
20140301_1000,0
20140301_1100,0
20140301_1200,0
20140301_1300,0
20140301_1400,0.046437616
20140301_1500,0.244923794
20140301_1600,0.116111538
20140301_1700,0
20140301_1800,0
20140301_1900,0
20140301_2000,0
20140301_2100,0
20140301_2200,0
20140301_2300,0
20140302_0000,0
20140302_0100,0
20140302_0200,0
20140302_0300,0
20140302_0400,0
20140302_0500,0
20140302_0600,0
20140302_0700,0
20140302_0800,0
20140302_0900,0
20140302_1000,0
20140302_1100,0
20140302_1200,0.004026056
20140302_1300,0
20140302_1400,0
20140302_1500,0
20140302_1600,0
20140302_1700,0
20140302_1800,0
20140302_1900,0
20140302_2000,0
20140302_2100,2.537090778
20140302_2200,0
20140302_2300,0
20140303_0000,0
20140303_0100,0.13164697
20140303_0200,1.903087559
20140303_0300,2.736818254
20140303_0400,7.806431133
20140303_0500,7.015813664
20140303_0600,4.698552671
20140303_0700,0.355144853
20140303_0800,0.651422875
20140303_0900,7.558456735
20140303_1000,12.28652503
20140303_1100,1.731730219
20140303_1200,0.020349446
20140303_1300,0
20140303_1400,8.457355237
20140303_1500,5.598874197
20140303_1600,0
20140303_1700,2.315052132
20140303_1800,13.92066544
20140303_1900,2.487234697
20140303_2000,0
20140303_2100,0.097102719
20140303_2200,0.066713624
20140303_2300,0.087248767
20140304_0000,3.284080048
20140304_0100,0
20140304_0200,0
20140304_0300,0
20140304_0400,0
20140304_0500,0.482803868
20140304_0600,0.017206871
20140304_0700,0.009994226
20140304_0800,0.041063128
20140304_0900,0.059626319
20140304_1000,2.529860959
20140304_1100,0
20140304_1200,0.54110701
20140304_1300,0.988749017
20140304_1400,0
20140304_1500,0
20140304_1600,0
20140304_1700,0
20140304_1800,0
20140304_1900,0
20140304_2000,0.188840968
20140304_2100,0.14410011
20140304_2200,0
20140304_2300,0
20140305_0000,0
20140305_0100,0.058470312
20140305_0200,0.026309206
20140305_0300,0
20140305_0400,7.438686233
20140305_0500,4.116385097
20140305_0600,6.53103323
20140305_0700,0.284390499
20140305_0800,0.395498334
20140305_0900,0.868098677
20140305_1000,17.01361029
20140305_1100,21.94434337
20140305_1200,23.43608693
20140305_1300,12.96515795
20140305_1400,0.177452389
20140305_1500,0.004588471
20140305_1600,0.023034234
20140305_1700,0.880483515
20140305_1800,0
20140305_1900,0
20140305_2000,0
20140305_2100,10.61609651
20140305_2200,17.27013872
20140305_2300,12.05331507
20140306_0000,6.106318322
20140306_0100,12.38478359
20140306_0200,2.246667397
20140306_0300,0.116851828
20140306_0400,18.04024074
20140306_0500,2.494896272
20140306_0600,0.811358186
20140306_0700,0.105059178
20140306_0800,0.616000011
20140306_0900,2.360084433
20140306_1000,9.427260482
20140306_1100,14.82255435
20140306_1200,11.45673841
20140306_1300,0.246406471
20140306_1400,0
20140306_1500,0.559505273
20140306_1600,3.057193488
20140306_1700,0.986747237
20140306_1800,5.239545484
20140306_1900,8.32967691
20140306_2000,8.447938785
20140306_2100,2.975059448
20140306_2200,5.292057347
20140306_2300,2.15856052
20140307_0000,0.109997307
20140307_0100,0.099397721
20140307_0200,0.063055468
20140307_0300,0
20140307_0400,0
20140307_0500,3.769363814
20140307_0600,0.008586245
20140307_0700,0
20140307_0800,0
20140307_0900,0
20140307_1000,0.06623744
20140307_1100,0.003049609
20140307_1200,0
20140307_1300,0
20140307_1400,0
20140307_1500,0
20140307_1600,0
20140307_1700,0
20140307_1800,0
20140307_1900,0
20140307_2000,0
20140307_2100,0
20140307_2200,0
20140307_2300,0
20140308_0000,0
20140308_0100,0
20140308_0200,0
20140308_0300,5.821728012
20140308_0400,0
20140308_0500,0
20140308_0600,0
20140308_0700,0
20140308_0800,0
20140308_0900,0
20140308_1000,0
20140308_1100,0
20140308_1200,0
20140308_1300,0
20140308_1400,0
20140308_1500,0.43057157
20140308_1600,1.042435926
20140308_1700,7.550457015
20140308_1800,14.50958737
20140308_1900,11.59652624
20140308_2000,3.214186684
20140308_2100,3.855343424
20140308_2200,19.77646006
20140308_2300,36.76093679
20140309_0000,18.6981195
20140309_0100,10.81604091
20140309_0200,18.68113464
20140309_0300,8.998669615
20140309_0400,21.47246633
20140309_0500,27.63464646
20140309_0600,24.2137456
20140309_0700,15.07169512
20140309_0800,18.62414364
20140309_0900,1.460071684
20140309_1000,0.467655002
20140309_1100,2.965485806
20140309_1200,6.721554851
20140309_1300,5.833212402
20140309_1400,0
20140309_1500,0.271511056
20140309_1600,0
20140309_1700,0
20140309_1800,0
20140309_1900,0
20140309_2000,0
20140309_2100,0.1876886
20140309_2200,0
20140309_2300,0
20140310_0000,0.040062445
20140310_0100,0
20140310_0200,0
20140310_0300,7.174472749
20140310_0400,13.75965702
20140310_0500,7.17409559
20140310_0600,8.66107051
20140310_0700,5.816816647
20140310_0800,2.289805014
20140310_0900,4.583753705
20140310_1000,11.86307375
20140310_1100,2.868773418
20140310_1200,1.052831584
20140310_1300,0.156440692
20140310_1400,0.001637493
20140310_1500,0
20140310_1600,0
20140310_1700,3.477844494
20140310_1800,0
20140310_1900,0
20140310_2000,0
20140310_2100,5.84224223
20140310_2200,5.174598895
20140310_2300,0.096042928
20140311_0000,0.369702642
20140311_0100,0
20140311_0200,0
20140311_0300,0.006828659
20140311_0400,0.235147237
20140311_0500,0
20140311_0600,0
20140311_0700,0
20140311_0800,0
20140311_0900,0
