date,hourlyPrecipRate
20140301_0000,0.314554533
20140301_0100,0.21582457
20140301_0200,0.001990268
20140301_0300,0.001698432
20140301_0400,8.53E-04
20140301_0500,0
20140301_0600,0
20140301_0700,0
20140301_0800,0
20140301_0900,0
20140301_1000,0
20140301_1100,0
20140301_1200,0
20140301_1300,0
20140301_1400,0.009627311
20140301_1500,0.050776884
20140301_1600,0.024071904
20140301_1700,0
20140301_1800,0
20140301_1900,0
20140301_2000,0
20140301_2100,0
20140301_2200,0
20140301_2300,0
20140302_0000,0
20140302_0100,0
20140302_0200,0
20140302_0300,0
20140302_0400,0
20140302_0500,0
20140302_0600,0
20140302_0700,0
20140302_0800,0
20140302_0900,0
20140302_1000,0
20140302_1100,0
20140302_1200,8.35E-04
20140302_1300,0
20140302_1400,0
20140302_1500,0
20140302_1600,0
20140302_1700,0
20140302_1800,0
20140302_1900,0
20140302_2000,0
20140302_2100,0.525982235
20140302_2200,0
20140302_2300,0
20140303_0000,0
20140303_0100,0.027292664
20140303_0200,0.394542543
20140303_0300,0.56738915
20140303_0400,1.618406454
20140303_0500,1.454497955
20140303_0600,0.974090188
20140303_0700,0.073627591
20140303_0800,0.135051084
20140303_0900,1.566997128
20140303_1000,2.547206408
20140303_1100,0.359017241
20140303_1200,0.004218788
20140303_1300,0
20140303_1400,1.753354135
20140303_1500,1.160742212
20140303_1600,0
20140303_1700,0.479949832
20140303_1800,2.885991615
20140303_1900,0.515646218
20140303_2000,0
20140303_2100,0.020131052
20140303_2200,0.013830873
20140303_2300,0.018088159
20140304_0000,0.680845864
20140304_0100,0
20140304_0200,0
20140304_0300,0
20140304_0400,0
20140304_0500,0.100093485
20140304_0600,0.003567278
20140304_0700,0.002071974
20140304_0800,0.008513088
20140304_0900,0.012361554
20140304_1000,0.52448337
20140304_1100,0
20140304_1200,0.112180722
20140304_1300,0.204984552
20140304_1400,0
20140304_1500,0
20140304_1600,0
20140304_1700,0
20140304_1800,0
20140304_1900,0
20140304_2000,0.039149957
20140304_2100,0.029874413
20140304_2200,0
20140304_2300,0
20140305_0000,0
20140305_0100,0.012121894
20140305_0200,0.005454348
20140305_0300,0
20140305_0400,1.542166658
20140305_0500,0.85339691
20140305_0600,1.353994694
20140305_0700,0.058959006
20140305_0800,0.081993557
20140305_0900,0.179971677
20140305_1000,3.527211889
20140305_1100,4.549437041
20140305_1200,4.858700949
20140305_1300,2.687898599
20140305_1400,0.03678891
20140305_1500,9.51E-04
20140305_1600,0.00477539
20140305_1700,0.182539265
20140305_1800,0
20140305_1900,0
20140305_2000,0
20140305_2100,2.200898057
20140305_2200,3.580394613
20140305_2300,2.498858002
20140306_0000,1.265944042
20140306_0100,2.567577086
20140306_0200,0.465772509
20140306_0300,0.024225379
20140306_0400,3.740049909
20140306_0500,0.517234593
20140306_0600,0.168208405
20140306_0700,0.021780561
20140306_0800,0.127707319
20140306_0900,0.489285797
20140306_1000,1.954432051
20140306_1100,3.072968584
20140306_1200,2.375177476
20140306_1300,0.051084268
20140306_1400,0
20140306_1500,0.115994996
20140306_1600,0.633808406
20140306_1700,0.204569549
20140306_1800,1.086247234
20140306_1900,1.726884238
20140306_2000,1.751401943
20140306_2100,0.616780617
20140306_2200,1.09713384
20140306_2300,0.447506449
20140307_0000,0.02280432
20140307_0100,0.020606845
20140307_0200,0.013072475
20140307_0300,0
20140307_0400,0
20140307_0500,0.781453474
20140307_0600,0.001780075
20140307_0700,0
20140307_0800,0
20140307_0900,0
20140307_1000,0.013732152
20140307_1100,6.32E-04
20140307_1200,0
20140307_1300,0
20140307_1400,0
20140307_1500,0
20140307_1600,0
20140307_1700,0
20140307_1800,0
20140307_1900,0
20140307_2000,0
20140307_2100,0
20140307_2200,0
20140307_2300,0
20140308_0000,0
20140308_0100,0
20140308_0200,0
20140308_0300,1.206943612
20140308_0400,0
20140308_0500,0
20140308_0600,0
20140308_0700,0
20140308_0800,0
20140308_0900,0
20140308_1000,0
20140308_1100,0
20140308_1200,0
20140308_1300,0
20140308_1400,0
20140308_1500,0.089264838
20140308_1600,0.216114765
20140308_1700,1.565338649
20140308_1800,3.008085185
20140308_1900,2.404157879
20140308_2000,0.666355776
20140308_2100,0.799278515
20140308_2200,4.099997817
20140308_2300,7.621169822
20140309_0000,3.876439408
20140309_0100,2.242349946
20140309_0200,3.872918157
20140309_0300,1.865577847
20140309_0400,4.451608874
20140309_0500,5.729134023
20140309_0600,5.019922867
20140309_0700,3.12461972
20140309_0800,3.861102949
20140309_0900,0.302697788
20140309_1000,0.096952866
20140309_1100,0.614795838
20140309_1200,1.393493079
20140309_1300,1.209324522
20140309_1400,0
20140309_1500,0.056288878
20140309_1600,0
20140309_1700,0
20140309_1800,0
20140309_1900,0
20140309_2000,0
20140309_2100,0.038911051
20140309_2200,0
20140309_2300,0
20140310_0000,0.008305629
20140310_0100,0
20140310_0200,0
20140310_0300,1.487390692
20140310_0400,2.852611821
20140310_0500,1.4873125
20140310_0600,1.795587789
20140310_0700,1.205925402
20140310_0800,0.474715674
20140310_0900,0.950290402
20140310_1000,2.459417729
20140310_1100,0.594745709
20140310_1200,0.218269963
20140310_1300,0.032432826
20140310_1400,3.39E-04
20140310_1500,0
20140310_1600,0
20140310_1700,0.721016541
20140310_1800,0
20140310_1900,0
20140310_2000,0
20140310_2100,1.21119656
20140310_2200,1.072782698
20140310_2300,0.019911339
20140311_0000,0.07664567
20140311_0100,0
20140311_0200,0
20140311_0300,0.001415698
20140311_0400,0.048750037
20140311_0500,0
20140311_0600,0
20140311_0700,0
20140311_0800,0
20140311_0900,0
20140311_1000,0
20140311_1100,0
20140311_1200,0
20140311_1300,0
20140311_1400,0
20140311_1500,0
20140311_1600,0
20140311_1700,0
20140311_1800,0
20140311_1900,0
20140311_2000,0
20140311_2100,0
20140311_2200,0
20140311_2300,0
20140312_0000,0.667366915
20140312_0100,0
20140312_0200,0
20140312_0300,0
20140312_0400,0
20140312_0500,0
20140312_0600,0
20140312_0700,0
20140312_0800,0
20140312_0900,0
20140312_1000,0
20140312_1100,0
20140312_1200,0
20140312_1300,0
20140312_1400,0
20140312_1500,0
20140312_1600,0
20140312_1700,0
20140312_1800,0
20140312_1900,0
20140312_2000,0
20140312_2100,0
20140312_2200,0
20140312_2300,0
20140313_0000,0
20140313_0100,0
20140313_0200,0
20140313_0300,0.580313108
20140313_0400,0
20140313_0500,0
20140313_0600,0
20140313_0700,0
20140313_0800,0
20140313_0900,0
20140313_1000,0
20140313_1100,0
20140313_1200,0
20140313_1300,0
20140313_1400,0
20140313_1500,0
20140313_1600,0.265732941
20140313_1700,0
20140313_1800,0
20140313_1900,0
20140313_2000,0
20140313_2100,0.026679903
20140313_2200,0
20140313_2300,0
20140314_0000,0
20140314_0100,0
20140314_0200,0.258296531
20140314_0300,1.745403496
20140314_0400,0
20140314_0500,1.648612774
20140314_0600,0.04775678
20140314_0700,0.10902879
20140314_0800,0.415900453
20140314_0900,0.685377067
20140314_1000,1.228205767
20140314_1100,0.39511562
20140314_1200,5.351066159
20140314_1300,0
20140314_1400,0
20140314_1500,0.009456534
20140314_1600,0.163833705
20140314_1700,0.377341431
20140314_1800,0
20140314_1900,0
20140314_2000,0.398052425
20140314_2100,0
20140314_2200,0
20140314_2300,0.522019919
20140315_0000,0.002363657
20140315_0100,0
20140315_0200,0
20140315_0300,0.558410776
20140315_0400,0
20140315_0500,0
20140315_0600,0
20140315_0700,0
20140315_0800,0
20140315_0900,0
20140315_1000,0
20140315_1100,0
20140315_1200,0
20140315_1300,0.339648058
20140315_1400,0.036583418
20140315_1500,0
20140315_1600,0
20140315_1700,0
20140315_1800,0
20140315_1900,0
20140315_2000,0
20140315_2100,0
20140315_2200,0
20140315_2300,0
20140316_0000,0
20140316_0100,0
20140316_0200,0.006653352
20140316_0300,0
20140316_0400,0.903128683
20140316_0500,2.69232976
20140316_0600,0.073112796
20140316_0700,0.156936895
20140316_0800,0.010690295
20140316_0900,0.001491252
20140316_1000,0.009176465
20140316_1100,9.70E-04
20140316_1200,0
20140316_1300,0
20140316_1400,0
20140316_1500,0
20140316_1600,0
20140316_1700,0
20140316_1800,0
20140316_1900,0
20140316_2000,0
20140316_2100,0
20140316_2200,0.24492605
20140316_2300,0.263577456
20140317_0000,3.129508385
20140317_0100,5.778935246
20140317_0200,5.885012902
20140317_0300,4.629999811
20140317_0400,3.50934312
20140317_0500,0
20140317_0600,0
20140317_0700,0
20140317_0800,0
20140317_0900,0
20140317_1000,0
20140317_1100,0
20140317_1200,0
20140317_1300,0.053624393
20140317_1400,0.046492184
20140317_1500,0
20140317_1600,0
20140317_1700,0
20140317_1800,0
20140317_1900,0
20140317_2000,0
20140317_2100,0
20140317_2200,0
20140317_2300,0
20140318_0000,0
20140318_0100,0
20140318_0200,0
20140318_0300,0
20140318_0400,0
20140318_0500,0
20140318_0600,0
20140318_0700,0
20140318_0800,0
20140318_0900,0
20140318_1000,0
20140318_1100,0
20140318_1200,0.385409306
20140318_1300,0
20140318_1400,0
20140318_1500,0
20140318_1600,0
20140318_1700,0
20140318_1800,0
20140318_1900,0.077666632
20140318_2000,0
20140318_2100,0
20140318_2200,0
20140318_2300,0
20140319_0000,0
20140319_0100,0
20140319_0200,0.06347299
20140319_0300,0
20140319_0400,0
20140319_0500,0
20140319_0600,0
20140319_0700,0
20140319_0800,0
20140319_0900,0
20140319_1000,0
20140319_1100,0
20140319_1200,0
20140319_1300,0
20140319_1400,0
20140319_1500,0
20140319_1600,0
20140319_1700,0
20140319_1800,0
20140319_1900,0
20140319_2000,0
20140319_2100,0
20140319_2200,0.059549961
20140319_2300,0
20140320_0000,0
20140320_0100,0
20140320_0200,0
20140320_0300,0
20140320_0400,0
20140320_0500,0
20140320_0600,0
20140320_0700,0
20140320_0800,0
20140320_0900,0
20140320_1000,0
20140320_1100,0
20140320_1200,0
20140320_1300,0
20140320_1400,0
20140320_1500,0
20140320_1600,0
20140320_1700,0
20140320_1800,0
20140320_1900,0
20140320_2000,0
