system:index,NDSI_Snow_Cover,google:max_source_file_timestamp,system:asset_size,system:band_names,system:bands,system:id,system:time_end,system:time_start,system:version,.geo
2013_01_01,56.669665771030985,1.477462792E12,1442964817,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_01,1357084800000,1356998400000,1639869130490634,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_02,52.070299045436265,1.477457069E12,1417133511,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_02,1357171200000,1357084800000,1639865329487692,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_03,51.46366076009312,1.477457045E12,1444116412,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_03,1357257600000,1357171200000,1639867424267712,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_04,65.10167718110479,1.477457034E12,1436197885,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_04,1357344000000,1357257600000,1639870742162145,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_05,,1.477450948E12,1435075506,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_05,1357430400000,1357344000000,1639865303774675,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_06,39.28697457187337,1.477450964E12,1438704808,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_06,1357516800000,1357430400000,1639871781767322,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_07,,1.477450915E12,1431932570,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_07,1357603200000,1357516800000,1639867663827411,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_08,,1.477446605E12,1445049323,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_08,1357689600000,1357603200000,1639869307282971,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_09,51.98786889897844,1.477446629E12,1435289446,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_09,1357776000000,1357689600000,1639865700912406,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2013_01_10,54.941116151886156,1.477446611E12,1464192999,[NDSI_Snow_Cover],<Element>,MODIS/006/MOD10A1/2013_01_10,1357862400000,1357776000000,1639869754427289,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
