Date,Paradise (679) Precipitation Accumulation (in) Start of Day Values,Paradise (679) Precipitation Increment (in),Paradise (679) Precipitation Increment - Snow-adj (in),Paradise (679) Air Temperature Average (degF),Paradise (679) Air Temperature Minimum (degF),Paradise (679) Air Temperature Maximum (degF),Paradise (679) Soil Moisture Percent -2in (pct) Start of Day Values,Paradise (679) Soil Moisture Percent -4in (pct) Start of Day Values,Paradise (679) Soil Moisture Percent -8in (pct) Start of Day Values,Paradise (679) Soil Moisture Percent -20in (pct) Start of Day Values,Paradise (679) Snow Density (pct) Start of Day Values,Paradise (679) Snow Water Equivalent (in) Start of Day Values,Paradise (679) Snow Depth (in) Start of Day Values,Paradise (679) Snow Rain Ratio (unitless),Paradise (679) Real Dielectric Constant -2in (unitless) Start of Day Values
1/1/12,33.8,0.8,0.8,35,29,45,32.7,32.3,37.8,36.6,42.8,24.4,57,38,
1/2/12,34.6,0.2,0.6,37,31,47,32.2,32,37.6,36.5,41.9,24.7,59,300,
1/3/12,34.8,0.1,0.1,35,31,42,32,31.9,37.4,36.3,42.2,25.3,60,100,
1/4/12,34.9,0.7,1,39,31,45,31.7,31.5,37.4,36.3,43.1,25.4,59,143,
1/5/12,35.6,0.1,0.1,26,19,32,31.7,31.8,37.5,36.3,44,26.4,60,0,
1/6/12,35.7,0.1,0.1,22,18,26,32.2,32.1,37.6,36.5,46.1,26.3,57,100,
1/7/12,35.8,0.5,0.5,29,26,33,32.2,32,37.5,36.3,43.3,26.4,61,60,
1/8/12,36.3,0,0.1,35,31,44,31.9,31.9,37.5,36.4,44.5,26.7,60,,
1/9/12,36.3,0,0.2,36,29,40,31.8,31.8,37.4,36.2,46.2,26.8,58,,
1/10/12,36.3,0,0,25,21,29,31.8,31.3,37.3,36.2,45,27,60,,
1/11/12,36.3,0,0.1,32,26,39,31.6,31.4,37.2,36.2,46.6,27,58,,
1/12/12,36.3,0.1,0.1,40,32,52,31.6,31.2,37.2,36,43.7,27.1,62,0,
1/13/12,36.4,0,0,39,33,47,31.5,31,37.1,36,45.2,27.1,60,,
1/14/12,36.4,0.7,0.7,26,17,38,31.5,31,37.1,36,45.2,27.1,60,100,
1/15/12,37.1,0.6,0.6,18,15,23,31.1,30.8,37,36.1,42.8,27.8,65,100,
1/16/12,37.7,1,1,17,11,20,31.4,30.8,36.9,35.9,38.4,28.4,74,100,
1/17/12,38.7,1.5,1.5,19,15,22,31.2,30.6,37,35.8,36.8,29.4,80,100,
1/18/12,40.2,2.3,2.3,29,16,35,30.9,30.7,36.9,36,32.5,30.9,95,100,
1/19/12,42.5,2.3,2.3,33,29,35,31,31,36.9,35.7,34.9,33.2,95,100,
1/20/12,44.8,0.7,0.7,34,32,36,31.8,31.4,37.2,36.2,34.1,35.5,104,100,
1/21/12,45.5,1.1,1.1,27,22,35,31.7,31.3,37.3,36.2,35.1,36.2,103,100,
1/22/12,46.6,0.8,0.8,26,19,30,31.6,31.6,37.2,36.2,37.7,37.3,99,100,
1/23/12,47.4,0,0,24,18,34,31.7,31.2,37.3,36.1,35.3,38.1,108,,
