,mean,sd,quality
2013-01-02,86.36481481481482,138.75137622840998,100.0
2013-01-03,85.46246913580246,138.6323991941536,100.0
2013-01-04,84.38148148148149,138.5137677192335,100.0
2013-01-05,82.57703703703703,138.45510073164917,100.0
2013-01-06,81.03432098765431,138.53624789146588,100.0
2013-01-07,82.19333333333331,146.87991269230793,100.0
2013-01-08,82.40518518518518,154.40543695180483,100.0
2013-01-09,83.01654320987655,162.34381866243396,100.0
2013-01-10,91.86370370370372,166.73217570736344,100.0
2013-01-11,97.54324999999999,168.93526064907118,98.76543209876543
2013-01-12,97.54324999999999,168.93526064907118,98.76543209876543
2013-01-13,97.54324999999999,168.93526064907118,98.76543209876543
2013-01-14,97.54324999999999,168.93526064907118,98.76543209876543
2013-01-15,97.54324999999999,168.93526064907118,98.76543209876543
2013-01-16,97.50287499999999,168.9530892438711,98.76543209876543
2013-01-17,94.749,168.81607790279043,98.76543209876543
2013-01-18,91.7837037037037,167.6232997187775,100.0
2013-01-19,88.9148148148148,167.45208135546653,100.0
2013-01-20,86.09765432098766,167.2818084421585,100.0
2013-01-21,82.57530864197531,167.10329640739005,100.0
2013-01-22,79.53012345679014,166.90454772484352,100.0
2013-01-23,76.9716049382716,166.6963542452023,100.0
2013-01-24,75.28975308641975,166.69840965779568,100.0
2013-01-25,89.92432098765431,171.0663184479799,100.0
2013-01-26,88.8795061728395,171.23403718961103,100.0
2013-01-27,93.08617283950619,176.50136952420442,100.0
2013-01-28,101.48123456790123,185.53633186240586,100.0
2013-01-29,119.03530864197532,204.18985684949203,100.0
2013-01-30,120.75086419753086,211.7790680650329,100.0
2013-01-31,119.43481481481483,211.9428932172008,100.0
2013-02-01,119.52185185185186,215.15736358018933,100.0
2013-02-02,118.71481481481483,215.30527308400454,100.0
2013-02-03,116.95987654320987,215.1874553702761,100.0
2013-02-04,115.84481481481482,215.28484769666858,100.0
2013-02-05,114.99024691358024,215.40492836153558,100.0
2013-02-06,113.95555555555555,215.47557806512555,100.0
2013-02-07,114.29506172839505,218.00457881156683,100.0
2013-02-08,119.01283950617285,219.3175619862359,100.0
2013-02-09,119.01283950617285,219.3175619862359,100.0
2013-02-10,121.7420987654321,219.9009853247368,100.0
2013-02-11,121.67987654320987,219.93162845810645,100.0
2013-02-12,121.67493827160494,219.9342827478441,100.0
2013-02-13,121.75975308641976,222.98476633491865,100.0
2013-02-14,121.73172839506174,227.18299340944358,100.0
2013-02-15,124.05777777777776,231.83153296628996,100.0
2013-02-16,122.50024691358026,231.5346762364944,100.0
2013-02-17,121.61716049382719,231.51161571417194,100.0
2013-02-18,122.29123456790124,232.458444723905,100.0
2013-02-19,122.29123456790124,232.458444723905,100.0
2013-02-20,122.29123456790124,232.458444723905,100.0
2013-02-21,129.83370370370372,234.56612563115564,100.0
2013-02-22,136.58037037037036,242.77789793576991,100.0
2013-02-23,154.66074074074075,255.29818599422998,100.0
2013-02-24,170.202625,262.1655437379251,98.76543209876543
2013-02-25,175.6406172839506,264.76013044048796,100.0
2013-02-26,192.94543209876542,273.7569039040357,100.0
2013-02-27,200.47395061728395,276.74798746639067,100.0
2013-02-28,199.6762962962963,276.99405037583585,100.0
2013-03-01,200.36296296296297,284.00096026441724,100.0
2013-03-02,197.9883950617284,283.81783273103537,100.0
2013-03-03,197.98888888888888,286.06249159930076,100.0
2013-03-04,198.36876543209874,285.934359413934,100.0
2013-03-05,198.36876543209874,285.934359413934,100.0
2013-03-06,203.25912499999998,289.61876966499017,98.76543209876543
2013-03-07,205.10950617283953,297.7420924512574,100.0
2013-03-08,206.84604938271605,301.1861998111758,100.0
2013-03-09,206.8422222222223,301.1888537487734,100.0
2013-03-10,206.69395061728395,301.23748818282485,100.0
2013-03-11,206.0138271604938,301.1553530097378,100.0
2013-03-12,207.68800000000002,302.2083881686504,98.76543209876543
2013-03-13,203.03074074074073,300.95836444090475,100.0
2013-03-14,201.01962962962963,300.76317661261515,100.0
2013-03-15,199.47432098765432,300.64697162510333,100.0
2013-03-16,197.8337037037037,300.50620237960334,100.0
2013-03-17,201.62617283950618,309.7211530093154,100.0
2013-03-18,218.48728395061724,313.69278118093644,100.0
2013-03-19,226.8008641975309,320.01777037063715,100.0
2013-03-20,243.4411111111111,328.5219293441459,100.0
2013-03-21,257.4443209876543,343.59644886821184,100.0
2013-03-22,275.77629629629627,349.09878358941774,100.0
2013-03-23,282.58234567901235,351.0908666152952,100.0
2013-03-24,282.58234567901235,351.0908666152952,100.0
2013-03-25,282.57839506172843,351.0939185227251,100.0
2013-03-26,282.10259259259254,351.224952148825,100.0
2013-03-27,280.2307407407407,351.3877807450687,100.0
2013-03-28,278.0338271604938,351.5170001847987,100.0
2013-03-29,276.71234567901234,351.7876468100877,100.0
2013-03-30,274.4038271604938,351.78350625977305,100.0
2013-03-31,271.5814814814815,351.41855574268953,100.0
2013-04-01,268.11938271604936,350.882790605872,100.0
2013-04-02,265.1748148148148,350.376264671678,100.0
2013-04-03,263.358024691358,350.50639716494385,100.0
2013-04-04,261.8601234567901,350.5419177270167,100.0
2013-04-05,259.21012345679014,350.30661532254084,100.0
2013-04-06,257.2988888888889,350.46718837146506,100.0
2013-04-07,256.78827160493825,353.89553215882125,100.0
2013-04-08,257.522962962963,360.6734064893212,100.0
2013-04-09,256.5654320987655,360.79796575108827,100.0
2013-04-10,258.0779012345679,363.97983882255085,100.0
2013-04-11,258.0292592592593,367.05052028902566,100.0
2013-04-12,257.5343209876543,367.1964217348062,100.0
2013-04-13,261.53679012345685,376.9077660543331,100.0
2013-04-14,291.6838271604938,388.48345886462107,100.0
2013-04-15,297.5844444444444,394.1833501747632,100.0
2013-04-16,303.31370370370365,396.8345543058355,100.0
2013-04-17,309.75814814814817,400.0856702417343,100.0
2013-04-18,313.7402469135802,401.04523822124884,100.0
2013-04-19,314.9354320987655,407.8525263776399,100.0
2013-04-20,313.3746913580247,407.84668393002295,100.0
2013-04-21,312.13666666666666,407.89040149898113,100.0
2013-04-22,311.5349382716049,408.66988432634554,100.0
2013-04-23,311.2349382716049,408.7528426938566,100.0
2013-04-24,310.40753086419755,408.63618059812956,100.0
2013-04-25,308.3416049382716,407.9341779088166,100.0
2013-04-26,305.9913580246914,407.1535439694498,100.0
2013-04-27,302.9772839506173,406.1617001423582,100.0
2013-04-28,301.0112345679012,405.7583504204896,100.0
2013-04-29,299.63444444444445,405.77447988691944,100.0
2013-04-30,299.8293827160494,408.14433510201286,100.0
2013-05-01,300.39024691358026,408.75031028726846,100.0
2013-05-02,300.3649382716049,408.76384042049096,100.0
2013-05-03,297.9635802469135,407.95682777810146,100.0
2013-05-04,296.362375,409.82882895934335,98.76543209876543
2013-05-05,292.29395061728394,406.26763643772745,100.0
2013-05-06,288.3854320987654,405.12163945551396,100.0
2013-05-07,284.15629629629626,403.8177975939286,100.0
